State_Name,State_ab,Zip_Code,Mean
Arizona,AZ,85501,70289
Arizona,AZ,85550,51691
Arizona,AZ,85379,86779
Arizona,AZ,85552,64852
Arizona,AZ,85546,52828
Arizona,AZ,85009,68506
Arizona,AZ,85552,33315
Arizona,AZ,85334,38049
Arizona,AZ,85344,27839
Arizona,AZ,85327,76076
Arizona,AZ,85378,47361
Arizona,AZ,85374,66648
Arizona,AZ,85342,67211
Arizona,AZ,85379,89512
Arizona,AZ,85387,55960
Arizona,AZ,85388,100613
Arizona,AZ,85374,61390
Arizona,AZ,85374,51719
Arizona,AZ,85322,78570
Arizona,AZ,85326,64123
Arizona,AZ,85326,69209
Arizona,AZ,85378,35059
Arizona,AZ,85335,62587
Arizona,AZ,85018,70546
Arizona,AZ,85382,45443
Arizona,AZ,85340,75997
Arizona,AZ,85340,74862
Arizona,AZ,85338,57318
Arizona,AZ,85308,68634
Arizona,AZ,85374,52098
Arizona,AZ,85379,68223
Arizona,AZ,85374,74805
Arizona,AZ,85379,94206
Arizona,AZ,85335,53722
Arizona,AZ,85031,34126
Arizona,AZ,85381,41322
Arizona,AZ,85323,36663
Arizona,AZ,85363,46831
Arizona,AZ,85382,49033
Arizona,AZ,85306,78406
Arizona,AZ,85382,97948
Arizona,AZ,85335,41673
Arizona,AZ,60048,49075
Arizona,AZ,85345,62982
Arizona,AZ,60048,45412
Arizona,AZ,85345,59615
Arizona,AZ,85345,50209
Arizona,AZ,85037,58722
Arizona,AZ,85037,47200
Arizona,AZ,85323,78317
Arizona,AZ,85286,69214
Arizona,AZ,85353,62737
Arizona,AZ,85323,45979
Arizona,AZ,85302,57211
Arizona,AZ,85627,59980
Arizona,AZ,85302,43142
Arizona,AZ,85302,42951
Arizona,AZ,85301,31282
Arizona,AZ,85037,41141
Arizona,AZ,85345,48369
Arizona,AZ,85303,30984
Arizona,AZ,85307,57968
Arizona,AZ,85345,52266
Arizona,AZ,85301,32028
Arizona,AZ,85301,42559
Arizona,AZ,85301,47013
Arizona,AZ,85032,103743
Arizona,AZ,85032,48340
Arizona,AZ,85254,100189
Arizona,AZ,85323,62606
Arizona,AZ,85032,127872
Arizona,AZ,85032,53206
Arizona,AZ,85032,32557
Arizona,AZ,85032,68279
Arizona,AZ,85023,84906
Arizona,AZ,85204,51012
Arizona,AZ,85023,112139
Arizona,AZ,85020,76235
Arizona,AZ,85029,34711
Arizona,AZ,85029,43236
Arizona,AZ,85305,47875
Arizona,AZ,85051,59141
Arizona,AZ,85306,89451
Arizona,AZ,85306,73962
Arizona,AZ,85304,75091
Arizona,AZ,85304,103502
Arizona,AZ,85029,62283
Arizona,AZ,85020,28514
Arizona,AZ,85020,30638
Arizona,AZ,85028,36247
Arizona,AZ,85253,158195
Arizona,AZ,85302,28790
Arizona,AZ,85018,156210
Arizona,AZ,85020,64385
Arizona,AZ,85051,65738
Arizona,AZ,85051,68470
Arizona,AZ,85021,75338
Arizona,AZ,85016,99390
Arizona,AZ,85015,37367
Arizona,AZ,85015,31947
Arizona,AZ,85019,32987
Arizona,AZ,85015,28292
Arizona,AZ,85303,59661
Arizona,AZ,85012,78584
Arizona,AZ,85016,34781
Arizona,AZ,85018,55964
Arizona,AZ,85016,100728
Arizona,AZ,85014,55315
Arizona,AZ,85013,38576
Arizona,AZ,85015,24966
Arizona,AZ,85031,48146
Arizona,AZ,85033,53956
Arizona,AZ,85033,41922
Arizona,AZ,85345,60357
Arizona,AZ,85033,51831
Arizona,AZ,85033,40947
Arizona,AZ,85009,23386
Arizona,AZ,85012,42813
Arizona,AZ,85016,45718
Arizona,AZ,85018,78664
Arizona,AZ,85008,57823
Arizona,AZ,85008,50241
Arizona,AZ,85006,29408
Arizona,AZ,85002,84105
Arizona,AZ,85301,39771
Arizona,AZ,85009,44890
Arizona,AZ,85035,24834
Arizona,AZ,85035,43295
Arizona,AZ,85035,31140
Arizona,AZ,85043,40916
Arizona,AZ,85009,19270
Arizona,AZ,85007,24292
Arizona,AZ,86504,44216
Arizona,AZ,85006,35967
Arizona,AZ,85008,37136
Arizona,AZ,85034,0
Arizona,AZ,85032,108707
Arizona,AZ,85007,25534
Arizona,AZ,85031,29616
Arizona,AZ,85041,35368
Arizona,AZ,85040,37930
Arizona,AZ,85042,53412
Arizona,AZ,85042,42456
Arizona,AZ,85041,66692
Arizona,AZ,85041,55383
Arizona,AZ,85041,73010
Arizona,AZ,85042,68700
Arizona,AZ,85032,32221
Arizona,AZ,85044,52684
Arizona,AZ,85048,87130
Arizona,AZ,85044,48421
Arizona,AZ,85048,111515
Arizona,AZ,85048,162988
Arizona,AZ,85007,24327
Arizona,AZ,85009,33073
Arizona,AZ,85258,57926
Arizona,AZ,85268,62943
Arizona,AZ,85268,135062
Arizona,AZ,85023,97055
Arizona,AZ,85266,135404
Arizona,AZ,85258,99025
Arizona,AZ,85259,53478
Arizona,AZ,85032,122412
Arizona,AZ,85018,83666
Arizona,AZ,85259,175150
Arizona,AZ,85255,144695
Arizona,AZ,85615,48342
Arizona,AZ,85250,81232
Arizona,AZ,85250,88864
Arizona,AZ,85251,62030
Arizona,AZ,85029,64354
Arizona,AZ,85257,112364
Arizona,AZ,85257,54953
Arizona,AZ,85257,77880
Arizona,AZ,85271,53752
Arizona,AZ,85257,77570
Arizona,AZ,85281,49214
Arizona,AZ,85281,27059
Arizona,AZ,85281,38782
Arizona,AZ,85282,64293
Arizona,AZ,85285,74365
Arizona,AZ,85306,66559
Arizona,AZ,85283,67101
Arizona,AZ,85283,69602
Arizona,AZ,85283,88421
Arizona,AZ,85283,45168
Arizona,AZ,85283,45627
Arizona,AZ,85207,125247
Arizona,AZ,85207,85162
Arizona,AZ,85207,42594
Arizona,AZ,85205,73432
Arizona,AZ,85215,99691
Arizona,AZ,85029,41582
Arizona,AZ,85206,52597
Arizona,AZ,85201,34286
Arizona,AZ,85203,64256
Arizona,AZ,85213,110519
Arizona,AZ,85204,41775
Arizona,AZ,85203,44859
Arizona,AZ,85201,44275
Arizona,AZ,85201,56661
Arizona,AZ,85201,39844
Arizona,AZ,85203,47381
